"AchievedFillRates_Avg","AchievedFillRates_Total","HoldingCosts","TargetFillRates","Method"
0.772289313244202,0.758904852818484,54513433.6202199,0.75,"META-1"
0.781177102146204,0.768002927763076,55964303.8785334,0.76,"META-1"
0.789998136804288,0.777073704217446,57467680.9700092,0.77,"META-1"
0.798808920211183,0.786088177535731,59037058.1338468,0.78,"META-1"
0.807644177106644,0.795180280935587,60677714.6236625,0.79,"META-1"
0.816419465875388,0.804236555067026,62389083.7949961,0.8,"META-1"
0.825281368219963,0.813370459280036,64196035.7709312,0.81,"META-1"
0.834138687901263,0.822542751994922,66086746.0144046,0.82,"META-1"
0.843015633722133,0.831737224733115,68091261.0952922,0.83,"META-1"
0.851726178367474,0.840773878074706,70207799.6100717,0.84,"META-1"
0.860615432360194,0.850017829326427,72450784.4122115,0.85,"META-1"
0.869467508313976,0.859251543644314,74861466.0916347,0.86,"META-1"
0.878179486098542,0.86836070860056,77421734.5413984,0.87,"META-1"
0.887029149615309,0.877633664498143,80197611.1553739,0.88,"META-1"
0.895764274179176,0.886821312613779,83206046.4469637,0.89,"META-1"
0.904680064856672,0.896202609394434,86492889.96579,0.9,"META-1"
0.913459410835904,0.905496039159684,90115230.589145,0.91,"META-1"
0.922241428816953,0.914808236636963,94158040.4188778,0.92,"META-1"
0.931079128530312,0.924221950374757,98735429.8600747,0.93,"META-1"
0.939917298727818,0.933674052614428,104001083.313292,0.94,"META-1"
0.948745785936796,0.943156012577779,110203388.364456,0.95,"META-1"
0.957624370454874,0.9527505788133,117781689.171603,0.96,"META-1"
0.966630600085974,0.962547324492035,127490343.373171,0.97,"META-1"
0.975781141125863,0.972562458092552,140605379.695628,0.98,"META-1"
0.983553748232467,0.981152951734563,157617738.160391,0.99,"META-1"
